Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Guest,RKU-44XXX-YY00D7722543,Roku Dallas Set Top Box (Roku 4),2019-11-12T16:23:01.470Z,2020-02-14T06:56:51.681Z,,,2019-11-12T16:23:01.470Z,2019-11-13T18:43:42.971Z,,,
Dad,ENSEO-330X00000000000000000000000000232718,Enseo HD3300 CKW MVPD Hotel STB,,,,,,,,,
Dad,NFUWA-001-4F06E3DF67797EF08B66FB216A809BE629E3C9E6AD3ECDBAFA02F47B5957D7E5,Netflix Windows App - Cadmium Windows Mobile,,,,,,,,,
Dad,GOOGEUR001-M112JR3C060XT5MHB8MER,Google Chromecast streaming stick,,,,,,,,,
Dad,NFPS4-002-6FRZCPJ4RM74Z73NTTL4J9DRKH,Sony PS4 Pro,,,,,,,,,
Dad,NFANDROID2-PRV-HECV1-HILTOHECV1-7418-5109B5D0DA88E772B702DB854BFC12DFF0854F043CE79E4DC6E5CA8CD69A6C3E,Hilton HECV1 Set Top Box,,,,,,,,,
Dad,NFANDROID1-PRV-P-L3-HUAWEMYA-L41-4445-0B5B39EC4380B90C26580873833D5AC2EE7DF7DE41EFB7919C82D0A24393D7A58,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
Dad,NFCDCH-02-GG46K963WDJP44QMA0K2UAGDFCV6PP,Chrome PC (Cadmium),,,,,,,,,
Dad,NFCDCH-02-E1LRKX0PY9V127TFL6U7A2YKUMWAJL,Chrome PC (Cadmium),,,,,,,,,
Dad,NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-66D2A4E45D1D2A40D9B258EA9A48EC0F39E813B397AB413C4431F6186C67B1BB,FireTV Stick 2016,,,,,,,,,
Dad,NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-8ACB10D7616D12A05DE35C21D0B62538A873015C6AD59215019C96FF94466CC0,FireTV Stick 2016,,,,,,,,,
Dad,NFANDROID2-PRV-FIRETVSTICK2018-AMAZOAFTMM-8415-C69704F64CF19ED578D204FCAD151D2C91378A6EADBAB0A18E3C168BAAB04A01,FireTV 4K Stick 2018,,,,,,,,,
Dad,SSTV-HKM1-0000000000000010494872,Samsung 2015 Hawk-M Smart TV,,,,,,,,,
Dad,NFUWA-001-0DCB63115A3EFBF557B0ED56C4FA611CE74CEB8376D6B8AFBAA468612358D3BB,Netflix Windows App - Cadmium Windows Mobile,,,,,,,,,
Dad,NFAPPL-01-IPAD5=1-CC8B828CC65C22B96A548E50003EAF5B3EAC0BF42D525F1B13A98CA949AFAFD2,Apple iPad Mini 4 WiFi,,,,,,,,,
Dad,NFANDROID1-PRV-P-L3-LGE==LG-H850-4445-02AC7181197163469B0CFE593BAB92B29D8468025EDD0A30626C7D025B352CAE8,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
Dad,NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-9AE6E5E3C253D251CB9B90F0644A03A949CADA117A317BD4D3D198592EA0A3D9,FireTV Stick 2016,,,,,,,,,
Dad,NFUWA-001-FBEFCE0A77252723EEAEEFF31192B161C09EFE360B82D2BD62285427ECB2BA88E62C77D9EF2C33666973B464564C57AB1493C3342C62B63A342B20E62B40D041,Netflix Windows App - Cadmium Windows Mobile,,,,,,,,,
Dad,NFANDROID2-PRV-FIRETVSTICK2016-AMAZOAFTT-6590-525740005064313C2596ACC2DC72C1FF74674B3AE971FF0876E96C25DA27D19B,FireTV Stick 2016,,,,,,,,,
Dad,NFPS4-001-L5N0JTKV41L1N0GTFH9AYCF4HR,Sony PS4,,,,,,,,,
Dad,RKU-42XXX-1GH355000079,Roku 3 Set Top Box,,,,,,,,,
Dad,NFAPPL-02-IPHONE7=2-69C97115D836A42D32AE7FF006AFA1F93D7FED684B9C26EE626C3713E0318DDB,Apple iPhone 6,,,,,,,,,
Dad,NFAPPL-02-IPHONE10=5-1B8D1E27DE06FE6D735C1B1BF97BE1E183DA52AE7D484E4E51E7DEC5CA0A1750,Apple iPhone 8 Plus (GSM),,,,,,,,,
Dad,NFCDCH-02-DX49G01DDWKHCM015MPUPRDERLTUW1,Chrome PC (Cadmium),,,,,,,,,
Dad,SLMAC-EMULL6JML8NCM9EE1K2M5Q1L9U8TYV,Mac,,,,,,,,,
Dad,NFCDCH-MC-EMUHR21LKRM73N42UEAW9CK2KT596X,Netflix Chrome MAC (Cadmium) HTML 5,,,,,,,,,
Dad,VIZVIAM8TP3J6KXQPRDLTCQ,Vizio MT5580-TPV-1H2013 Smart TV,,,,,,,,,
Dad,NFUWA-001-C6D1EE8E3C9C0CDDF0F36409A6F6BB421E30EA145C6F3E3811823FA33A52BAE9,Netflix Windows App - Cadmium Windows Mobile,,,,,,,,,
Dad,NFCDCH-02-EJT4LRRA6PWKQMYW5215PGJDMCTM6C,Chrome PC (Cadmium),,,,,,,,,
Dad,NFAPPL-02-IPHONE10=5-CC8B828CC65C22B96A548E50003EAF5B3EAC0BF42D525F1B13A98CA949AFAFD2,Apple iPhone 8 Plus (GSM),,,,,,,,,
Dad,NFANDROID1-PRV-P-L3-SAMSUSM-A520F-4445-0488F7BD60AC521CEF16398A8CA082C751682F90A266097C59F82BB69B7967AA8,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
Dad,NFANDROID1-PRV-P-L3-LGE==LG-H850-4445-030C112C93CD504C94EC85F74EF2C94074F9905B9F636BF6AFEB83186F4EB7888,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
Dad,GOOGEAR0010000000000000002813007,Google Chromecast V3 Streaming Stick,,,,,,,,,
Dad,NFANDROID1-PRV-P-L3-LENOVB5060-4445-FAA4EEC62844A0D523652DE3DCECA7435D94331D4BD9CA30C6F699BD8F756AF5,Android DefaultWidevineL3Phone Android Phone (Lenovo_B5060),,,,,,,,,
Dad,RKU-35XXX-2L5434245638,Roku Sugarland Streaming Stick,,,,,,,,,
Dad,NFANDROID1-PRV-P-L3-SAMSUSM-A520F-4445-C8094A13A8078BFBD685B3623E57C789E4436D7EBBAFD01765C0145D97AD2FC1,Android DefaultWidevineL3Phone Android Phone (samsung_SM-A520F),,,,,,,,,
Dad,NFCDCH-02-DZ7C6M6AK2F0R3QE95QNYPVVE7X53U,Chrome PC (Cadmium),,,,,,,,,
Dad,NFUWA-001-3067D59AB9D7952401F00B48FD1C2378626394A71AC1EE404816237A8FE458DB,Netflix Windows App - Cadmium Windows Mobile,,,,,,,,,
Dad,NFCDCH-02-E0V1NP56QVYQKM22ATXMHFXC8EJGV3,Chrome PC (Cadmium),,,,,,,,,
Dad,NFANDROID1-PRV-P-L3-SAMSUSM-J510FN-4445-62692C1A9F10C25FAD8B3AF4389120A870EC4EDA62BBDF33BEFE93DB1A47F1A7,Android DefaultWidevineL3Phone Android Phone (samsung_SM-J510FN),,,,,,,,,
Dad,NFANDROID1-PRV-P-L3-HUAWEMYA-L41-4445-D141EBE2BF2FB0B0788C731795A086C2D66473787966AC9914EA0808A8FEF65C,Android DefaultWidevineL3Phone Android Phone (HUAWEI_MYA-L41),,,,,,,,,
Dad,NFCDCH-02-E0JNL0F5DXGFW5J2VGRALEPPNAH8FE,Chrome PC (Cadmium),,,,,,,,,
Dad,NFANDROID1-PRV-P-L3-MOTORXT1068-5302-724CA223C9EE449FD0285156C7742A7BAC1D80AC21510D959B1376BE2404D34A,Android DefaultWidevineL3Phone Android Phone (motorola_XT1068),,,,,,,,,
Dad,NFCDOP-01-E0F72UN4R8YDEHA27KLT6CAF2D39E7,Netflix Opera Other,,,,,,,,,
Dad,NFCDCH-02-E0F6WCQWNHWFF3X2NJPHWWW38U9CK0,Chrome PC (Cadmium),,,,,,,,,
Dad,NFCDCH-02-E0F6T3YURAGGG2PUELRP6GW923R9GL,Chrome PC (Cadmium),,,,,,,,,
Dad,NFCDCH-02-DZNAHKNK13TTKL3KEWHYAQQ72CFE8W,Chrome PC (Cadmium),,,,,,,,,
Dad,NFCDFF-02-DW2YWKDNC8P90AXFWK7AVW2Y0EGN06,Firefox PC (Cadmium),,,,,,,,,
Dad,NFANDROID1-PRV-P-L3-LGE==LG-H850-4445-0C764A4BF1533ACA611A18B2AFEFDE348B0A0BB4CA4B86E9DE495ED9E44628CE,Android DefaultWidevineL3Phone Android Phone (LGE_LG-H850),,,,,,,,,
Dad,NFANDROID1-PRV-T-L3-SONY=SGP611-4445-75AD9EACF9C4D6A431A3493AAC15513C2027A26C2E244BF8B556FD2D560BA305,Android DefaultWidevineL3Tablet Android Tablet,,,,,,,,,
Dad,NFCDCH-02-DC96QMKNPND3W07Q21AD1MRY3WV1KH,Chrome PC (Cadmium),,,,,,,,,
Dad,NFAPPL-02-IPHONE8=4-8C23FF500FA8F24069F1955582147E60186C3294FE33AAAD3E5ABF051E4D5EA0,iPhone SE,,,,,,,,,
Dad,NFCDCH-02-DUEQJDM0YG7UAH4WNE23K9J1357WRF,Chrome PC (Cadmium),,,,,,,,,
Dad,NFCDCH-02-DUMYPJGGER6PCPJT70CL5MQ12ECJPL,Chrome PC (Cadmium),,,,,,,,,
Dad,RKU-42XXX-632616181232,Roku 3 Set Top Box,,,,,,,,,
Dad,NFX360-01-032549004827,Microsoft Xbox 360,,,,,,,,,
Dad,VIZTMG-0010000002256724,Vizio MG132 eMMC MT5580 TPV Smart TV,,,,,,,,,
Dad,NFANDROID1-PRV-P-L3-ONEPLONEPLUS=A3003-4445-15395200CFC6E18E8929F5E10B1DD3CC6DAF749669DBA0C0C0CF0C3396A0DE02,Android DefaultWidevineL3Phone Android Phone (OnePlus_ONEPLUS A3003),,,,,,,,,
Dad,NFCDCH-MC-DQJ86MA04QYFRVD04KRWRYLKCCYLKJ,Netflix Chrome MAC (Cadmium) HTML 5,,,,,,,,,
Dad,NFCDCH-02-DCEA3ZFUPXWXMY4T6NNFEW9M5WP2C1,Chrome PC (Cadmium),,,,,,,,,
Dad,NFCDCH-02-DPD492GMYV1VXPX20X79JJ2PGGP34J,Chrome PC (Cadmium),,,,,,,,,
Dad,NFCDFF-02-CH7NUJP5F96L5TD732GW6VH32XQFDC,Firefox PC (Cadmium),,,,,,,,,
Dad,RKU-35XXX-2LA4C9158575,Roku Sugarland Streaming Stick,,,,,,,,,
Dad,NFCDCH-MC-DKUHZ4TKPPRN4TXE25C9QJ6N1C4064,Netflix Chrome MAC (Cadmium) HTML 5,,,,,,,,,
Dad,NFCDCH-02-DF7V52XE39RD76HJGYU2DPQYR2NLMC,Chrome PC (Cadmium),,,,,,,,,
Dad,NFANDROID1-PRV-P-L3-SAMSUSM-A520F-4445-614C97875A93AEEB0E12AD9ECBE350BC58C3D8DA3208F902ECBFFC2ADF16B416,Android DefaultWidevineL3Phone Android Phone (samsung_SM-A520F),,,,,,,,,
Dad,NFAPPL-02-IPHONE7=1-8D50979F0F241207309B8637BC3DC6812372CC743AEDD45F839AB54866AAC260,Apple iPhone 6 Plus,,,,,,,,,
Dad,NFUWA-001-69284B123AC7CE09373D7E01BEFCBA77E16499CAF81D9AD21F724B93872C9E51,Netflix Windows App - Cadmium Windows Mobile,,,,,,,,,
Dad,NFCDCH-02-D8DWG6TQ9N0CRD8EHTYMUC41L39VMM,Chrome PC (Cadmium),,,,,,,,,
Dad,NFANDROID1-PRV-T-LGE==NEXUS=5X-6346-33CCF431588EEFFAFE137403A9BC5D88DE6FA78B0B8BB8B569CB0FEA7D5B593E,DefaultWidevineAndroidTablets,,,,,,,,,
Dad,NFCDCH-02-D84LWYW9GE2D3DWT4EE7Y0KLET2D2C,Chrome PC (Cadmium),,,,,,,,,
Dad,NFUWA-001-D7U7QUQCX07G4X6HFFKFNND7V3N96P,Netflix Windows App - Cadmium Windows Mobile,,,,,,,,,
Dad,RKU-35XXX-2L6491112388,Roku Sugarland Streaming Stick,,,,,,,,,
Dad,NFCDCH-02-D7M6666EV1RMREX0JJV7QK3T98FLYM,Chrome PC (Cadmium),,,,,,,,,
Dad,NFANDROID1-PRV-T-L3-LGE==VK810=4G-5281-1CDA30C9BAF837337C5001DFF37425EF84926F0F28573888377B997C04853449,Android DefaultWidevineL3Tablet Android Tablet,,,,,,,,,
Dad,NFANDROID1-PRV-T-L3-AMAZOKFFOWI-4445-0599BCA4B13F3942EC7BD484266B5246A4F0D4A48BFBD01E204DFBF3E7CF9B51,Android DefaultWidevineL3Tablet Android Tablet,,,,,,,,,
Dad,NFANDROID1-PRV-T-L3-AMAZOKFFOWI-4445-DF5971E3DFBFC777637CB871C111A2AD6F94B1A8FFB35463008B227E24036F9F,Android DefaultWidevineL3Tablet Android Tablet,,,,,,,,,
Dad,NFANDROID2-PRV-NEXUSPLAYERFUGU-ASUS=NEXUS=PLAYER-5771-DD58507103377AE135B59AA26367B59493DD3A362D54734E3EBC3945E04315E1,Google Nexus player Fugu Set Top Box (Asus_Nexus Player),,,,,,,,,
Dad,NFANDROID1-PRV-P-L3-LGE==LG-H850-4445-BB1BB2A9D10F005E978B0FAA00AB471A5D3A7733A6420C26060634A80C7122FF,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
Dad,NFANDROID1-PRV-P-L3-LGE==LG-H850-4445-9554F6B6C17496C517DAFBEC0AC3B7720BAC17FF441947F42550D4A71F8CDC4B,Android DefaultWidevineL3Phone Android Phone,,,,,,,,,
Dad,NFANDROID1-PRV-P-LGE==NEXUS=5X-6346-33CCF431588EEFFAFE137403A9BC5D88DE6FA78B0B8BB8B569CB0FEA7D5B593E,DefaultWidevineAndroidPhone,,,,,,,,,
Dad,NFANDROID1-LGE==LG-H850S-CEA62189991A4D8B94AE8130514D1B3810687549A7F4F62BEE1D2FA7FBFA4007,Mobile,,,,,,,,,
Dad,NFANDROID1-LGE==VK810=4GS-E646615D4DC8D5D4E2196F268F18E5F9EC7BDDB16D11544539DB094A8E9E4A36,Mobile,,,,,,,,,
Dad,NFAPPL-03-APPLETV2=1-152F09888CBA427DEEC2A07557337D73DC82DF97C5730451AB8C1D5CD51ADFA1,Apple TV 2,,,,,,,,,
Dad,NFANDROID1-LGE==LG-H525NS-2D66F66FD29464D4614F4065961DC48BEB2379FB5B23DD6BBC38694C0E633773,Mobile,,,,,,,,,
Dad,GOOGEUR001-M14Y1S591WB-UEGQ8CTR0,Google Chromecast streaming stick,,,,,,,,,
Dad,NFANDROID1-LGE==VS985=4GS-3D42876ACBF47B7A9F4A835E791E1F030728BA65B99E3ACEBD29FFBC8C953B2C,Mobile,,,,,,,,,
Dad,NFAPPL-01-IPAD3=1-4C2076F9AB3B4C8D91800DCCA7EDE5311A23865885BE3BCEBC280C0E6462D866,Apple iPad 3rd Gen (Wi-Fi Only) iPad,,,,,,,,,
Dad,NFCDCH-02-C9MZY2K9K6Y29QA6DVTRQX59Z23J0J,Chrome PC (Cadmium),,,,,,,,,
Dad,NFCDCH-02-C54D712CLKWWTCNK9XTNDNF4E2V79F,Chrome PC (Cadmium),,,,,,,,,
Dad,NFANDROID1-SAMSUSPH-L720S-067F26A091346ED28A5729C3D129FDDC5FD93FB5590F2902722B17ADB26A4A67,Mobile,,,,,,,,,
Dad,NFANDROID1-SAMSUSM-A500FUS-F8392124317A76C50C16218D1CF27BF62E3DD72629065EB093A1C33D10DAAF93,Mobile,,,,,,,,,
Dad,NFWRTM-X64-JH48YN0NCCEQ9P2H997VH,Windows 8 x64 devices,,,,,,,,,
Dad,NFCDCH-02-AVC76164LAMPDXQQ1WLPWN5UMLDVUY,Chrome PC (Cadmium),,,,,,,,,
Dad,NFAPPL-02-IPHONE6=1-258B17DF3D564562C7B2B76F92D028DF821358AC083EB356789E72E7F118ED12,iPhone 5S GSM,,,,,,,,,
Dad,NFANDROID1-QUANTQMV7AS-6813F8AD298CD5B1B664F7BAFA4BE9E60F37B5FD829DB9EA3E86F44291D5BC86,Mobile,,,,,,,,,
Dad,SLW32-UW554N8890NT2MTPAYKXFP1YN4,PC,,,,,,,,,
Dad,NFCDCH-02-AGWKP1541ZFLCRNLH4ZDC7Q7TXP9KU,Chrome PC (Cadmium),,,,,,,,,
Dad,SONY-13BDAKL10038OA616ERX51XHOBE,2013 Sony BD players AX Series,,,,,,,,,
Dad,GOOGEUR001-M24S3Q=099V=WAZ4G6HTI,Google Chromecast streaming stick,,,,,,,,,
Dad,NFCDCH-02-RD38MMZNLG0JHG1E3NWKYNX3WH,Chrome PC (Cadmium),,,,,,,,,
Dad,NFANDROID1-BARNEBNTV250H-3D236AB0D652F4CDA4FFC79D5D699770F910510E0A48696960022226E7BB49EE,Mobile,,,,,,,,,
Dad,NFAPPL-02-IPHONE5=2-E8C86E34CB4C55DEE36EB41233F52E80FAA73E815825511D96566AF1176EFF7C,Apple iPhone 5 with CDMA,,,,,,,,,
Dad,NFANDROID1-SAMSUSM-T337VS-ECF7EF1E7CA906F1828F4BA457F01A61539DFE8B96262672AA38DCB49BF49D21,Mobile,,,,,,,,,
Dad,NFAPPL-02-IPHONE5=2-E4303A1B5EDA021C0B74F6F377104E095295E1CE2C9321974BBC695668BCA8AA,Apple iPhone 5 with CDMA,,,,,,,,,
Dad,SONY-HAV12KL1108SZA4DCE6Z134XAC6,Sony 2012 Blu-ray Players,,,,,,,,,
Dad,NFAPPL-01-IPAD3=1-1E38E86D8031CD31F6B1F8DA526C3A946D11715B274A1BF6977E6EB1E9EC2CF1,Apple iPad 3rd Gen (Wi-Fi Only) iPad,,,,,,,,,
Dad,SLW32-RD38MMZNLG0JHG1E3NWKYNX3WH,PC,,,,,,,,,
Dad,NFWRTM-X64-C0HPWMRQ183HUGP2DFHMM,Windows 8 x64 devices,,,,,,,,,
Dad,NFAPPL-02-IPHONE3=3-060549CF6EF2A9C323B19867FEB8729329459383FE42E12333449401220025DF,Apple iPhone 4 with CDMA,,,,,,,,,
Dad,SLW32-FCFW4MU09K7H7A4EPFAPVZRYW0,PC,,,,,,,,,
Dad,NFAPPL-02-IPHONE5=2-489EECBB2B546E06B15676E6148C980EE81DCE90546415ED9EF2735E3403EE5E,Apple iPhone 5 with CDMA,,,,,,,,,
Dad,NFANDROID1-AMAZOKINDLE=FIRES-77A67075F29873FA78517EC39AA340B5C36BA4B95774ECC087FEF4CC79ABAC5F,Mobile,,,,,,,,,
Dad,SLW32-2PK16MYHN6HL4YML3Y4KZ5QWW8,PC,,,,,,,,,
Dad,SLW32-T3812MXTLRPP046756E8VFW6ER,PC,,,,,,,,,
Dad,SONY-13BDAKL1002PQ7UGYSKRHKXRB3N,2013 Sony BD players AX Series,,,,,,,,,
Dad,SLW32-FQ4H0LZMT35Q894M2K0P5YW9FR,PC,,,,,,,,,
Dad,NFWRTM-X64-JGM8UM8FGCDHKVVVFG5XH,Windows 8 x64 devices,,,,,,,,,
Dad,SLW32-4A1CKLFMWYJ5T0NNYND9YQYLDH,PC,,,,,,,,,
Dad,SONY-NBX01-F0BF97507F6C,Sony Netbox,,,,,,,,,
Dad,SLW32-JXKEALMD9H0H8E3232NPXHKX1D,PC,,,,,,,,,
Dad,SLMAC-08UARKM0390HWCQ56NZM9EJ610,Mac,,,,,,,,,
Dad,SLW32-81KEALQCEQZ1V5NKYH9L11FD6H,PC,,,,,,,,,
Dad,SLW32-9DNAAM9L6PKHT96V236RAXXGM0,PC,,,,,,,,,
Dad,NFWRTM-X64-XKLCAMH8V4YATL4Q32W20,Windows 8 x64 devices,,,,,,,,,
Dad,NFAPPL-02-IPHONE3=3-D0488205C72A76868DFF860340D83C2CA91C7EE9,Apple iPhone 4 with CDMA,,,,,,,,,
Dad,XBLIVE-032549004827,Microsoft Xbox 360,,,,,,,,,
Dad,SONYNSZGT1-42BE-CF61-D3B0-6511,Sony NSZ-GT1 Blu Ray Player,,,,,,,,,
Dad,NFAPPL-02-IPHONE3=3-9C2ACB37A8B3824FE9D4A217799300AFA8D1D4210B30D914326A56DA4CDC50B7,Apple iPhone 4 with CDMA,,,,,,,,,
Dad,NFWII-005-04AC9731-00241EC5DC58,Wii Bowser,,,,,,,,,
Dad,SLMAC-KUZTFKNZCTHFK0XA1AV67FFXD8,Mac,,,,,,,,,
Dad,SONY-BDP11-F0BF97760A88,Sony BDP6G/BDV4g Blu-ray Disc Player,,,,,,,,,
Dad,NFWII-004-04AC9731-00241EC5DC58,Wii Donkey Kong,,,,,,,,,
Dad,SLW32-A709AM3TC6U1KFXYFTP5TL5N68,PC,,,,,,,,,
Dad,SLW32-UE3CYMLL684DRD6949HRUTT1F0,PC,,,,,,,,,
Dad,NFWRTM-X64-4CCX4MQ6P847ZCYNGTVAR,Windows 8 x64 devices,,,,,,,,,
Dad,NFAPPL-01-IPAD3=1-DA61DF968DC48EBD8B65832EF6076AD13AFE076E1F92CB54895F98116963AC5B,Apple iPad 3rd Gen (Wi-Fi Only) iPad,,,,,,,,,
Dad,SONY-13BDAKL1002DC-4D2YI8UTLI3=M,2013 Sony BD players AX Series,,,,,,,,,
Dad,VBR122-001=10215145454006959,Vizio VBR122 Blu-ray Player,,,,,,,,,
Dad,NFAPPL-03-APPLETV2=1-C07F7FHVDDR5,Apple TV 2,,,,,,,,,
Dad,NFAPPL-02-IPHONE3=3-B172B05103E065D4C87B9211C2639A5B9608DF934FBDE793508E1D4E788FD83F,Apple iPhone 4 with CDMA,,,,,,,,,
